ConfigurationReview;NOV- NOVOS App;1.1.0;4.5.0;Configuration Management;76b0dae1-83e3-4582-89a4-4163039c2351
NOVOSGateway;NOV- NOVOS App;1.1.2;4.4.0;Drilling;4f2c9a1a-d1f3-4855-ba2b-8e06b6c67e9d
Downlink;NOV- NOVOS App;1.0.2;4.4.0;Drilling Automation;a4e92a23-744f-4202-aea0-b4602fcc4a76
NOVOSGateway;NOV- NOVOS App;1.1.1;4.4.0;Drilling;4f2c9a1a-d1f3-4855-ba2b-8e06b6c67e9d
SurgeSwab;NOV- NOVOS App;1.0.4;4.4.0;Wellbore Pressure Management;7e603e1d-bc39-4888-8f38-f52ef5e9187d
ConfigurationReview;NOV- NOVOS App;1.0.2;4.4.0;Configuration Management;76b0dae1-83e3-4582-89a4-4163039c2351
NOVOSGateway;NOV- NOVOS App;1.1.0;4.3.0;Drilling;4f2c9a1a-d1f3-4855-ba2b-8e06b6c67e9d
MotorStall;NOV- NOVOS App;1.0.0;4.3.0;Drilling Optimizer;e8cb0d12-3a8b-4298-b4a1-e69e7eaf5672
NOVOSGateway;NOV- NOVOS App;1.0.1;4.2.0;Drilling;4f2c9a1a-d1f3-4855-ba2b-8e06b6c67e9d
SurgeSwab;NOV- NOVOS App;1.0.3;4.3.0;Wellbore Pressure Management;7e603e1d-bc39-4888-8f38-f52ef5e9187d
NOVOSGateway;NOV- NOVOS App;1.0.0;4.2.0;Drilling;4f2c9a1a-d1f3-4855-ba2b-8e06b6c67e9d
TwisterPlus;NOV- NOVOS App;1.0.1;4.2.0;Drilling;33d8925c-aebe-4a21-8e6b-4d03a62e79e0
Downlink;NOV- NOVOS App;1.0.1;4.3.0;Drilling Automation;a4e92a23-744f-4202-aea0-b4602fcc4a76
TwisterPlus;NOV- NOVOS App;1.0.0;4.2.0;Drilling;33d8925c-aebe-4a21-8e6b-4d03a62e79e0
ConfigurationReview;NOV- NOVOS App;1.0.2;4.3.0;Configuration Management;76b0dae1-83e3-4582-89a4-4163039c2351
AdvancedDrill;NOV- NOVOS App;1.0.4;4.3.0;Drilling Optimizer;efdcfe90-77d2-418e-8e3a-09fdd9dd202f
SurgeSwab;NOV- NOVOS App;1.0.2;4.3.0;Wellbore Pressure Management;7e603e1d-bc39-4888-8f38-f52ef5e9187d
AutoDrillGainsControl;NOV- NOVOS App;1.0.2;4.3.0;Drilling Optimizer;b264d473-ace2-44b5-8c47-f957f2a08f50
DrillOff;NOV- NOVOS App;1.0.2;4.3.0;Drilling Optimizer;2caf02c5-fd04-4f2e-8835-8e313db7ca06
Downlink;NOV- NOVOS App;1.1.0;4.3.0;Drilling Automation;a4e92a23-744f-4202-aea0-b4602fcc4a76
AdvancedDrill;NOV- NOVOS App;1.0.4;4.2.0;Drilling Optimizer;efdcfe90-77d2-418e-8e3a-09fdd9dd202f
Downlink;NOV- NOVOS App;1.0.2;4.2.0;Drilling Automation;a4e92a23-744f-4202-aea0-b4602fcc4a76
ConfigurationReview;NOV- NOVOS App;1.0.1;4.2.0;Configuration Management;76b0dae1-83e3-4582-89a4-4163039c2351
AutoDrillGainsControl;NOV- NOVOS App;1.0.1;4.2.0;Drilling Optimizer;b264d473-ace2-44b5-8c47-f957f2a08f50
SurgeSwab;NOV- NOVOS App;1.0.1;4.2.0;Wellbore Pressure Management;7e603e1d-bc39-4888-8f38-f52ef5e9187d
AdvancedDrill;NOV- NOVOS App;1.0.2;4.2.0;Drilling Optimizer;efdcfe90-77d2-418e-8e3a-09fdd9dd202f
DrillOff;NOV- NOVOS App;1.0.1;4.2.0;Drilling Optimizer;2caf02c5-fd04-4f2e-8835-8e313db7ca06
OPCUABridge;NOV- NOVOS App;1.0.1;4.2.0;Drilling;3de1c481-3d0f-4442-9d38-fd1e79096010
SurgeSwab;NOV- NOVOS App;1.0.0;4.1.0;Wellbore Pressure Management;7e603e1d-bc39-4888-8f38-f52ef5e9187d
AutoDrillGainsControl;NOV- NOVOS App;1.0.0;4.1.0;Drilling Optimizer;b264d473-ace2-44b5-8c47-f957f2a08f50
ConfigurationReview;NOV- NOVOS App;1.0.4;4.1.0;Configuration Management;76b0dae1-83e3-4582-89a4-4163039c2351
Downlink;NOV- NOVOS App;1.0.0;4.1.0;Drilling Automation;a4e92a23-744f-4202-aea0-b4602fcc4a76
DrillOff;NOV- NOVOS App;1.0.0;4.1.0;Drilling Optimizer;2caf02c5-fd04-4f2e-8835-8e313db7ca06
